Jour ,Heure  ,Puissance appelée horaire (W),Puissance appelée horaire (kW),Puissance maximale (kW),Plage de puissance N°,Plage de puissance (kW),Nbre d'heures,Pourcentage,,Plage n°,Plage n°1,Plage n°2,Plage n°3,Plage n°4,Plage n°5,Plage n°6,Plage n°7,Plage n°8,Plage n°9,Plage n°10,Plage n°11,Plage n°12,Plage n°13,Plage n°14,Plage n°15,Plage n°16,Plage n°17,Plage n°18,Plage n°19,Plage n°20,,,,,,,,,,,,,Rappel puissance maximale appelée (kW),29.2,,Consommation les 10 jours de janvier,Besoins totaux (kWh),Besoins générateur de base (kWh),,Puissance,Part base,86%,,,,,,Affichage de la puissance du générateur de base sur la monotone,,
2,2,24461.53846,24,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,24.46153846,,,,,,,,,,,,
2,3,24576.92308,25,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,24.57692308,,,,,,,,,,,,
2,4,24692.30769,25,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,24.69230769,,,,,,,,,,,,
2,5,24692.30769,25,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,24.69230769,,,,,,,,,,,,
2,6,24692.30769,25,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,24.69230769,,,,,,,,,,,,
2,7,24692.30769,25,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,24.69230769,,,,,,,,,,,,
2,8,24692.30769,25,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,24.69230769,,,,,,,,,,,,
2,9,24692.30769,25,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,24.69230769,,,,,,,,,,,,
2,10,23538.46154,24,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,23.53846154,,,,,,,,,,,,
2,11,22153.84615,22,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,22.15384615,,,,,,,,,,,,
2,12,20769.23077,21,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.76923077,,,,,,,,,,,,
2,13,19730.76923,20,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,19.73076923,,,,,,,,,,,,
2,14,19038.46154,19,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,19.03846154,,,,,,,,,,,,
2,15,19153.84615,19,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,19.15384615,,,,,,,,,,,,
