Tableau des énergies,,,
Energie,Abonnement,Tarification €TTC/KWh,
Bois déchiquetté, -   € , 0.0530 € ,
Bois granulés, -   € , 0.1162 € ,
Bois soufflerie, -   € , 0.0530 € ,
Electricité,, 0.2260 € ,
Fuel, -   € , 0.1300 € ,
Gaz naturel,, 0.9780 € ,
Gaz propane, -   € , 0.1652 € ,
