Caractéristiques du combustible,,,,
type biomasse,"PCI 
MWh/t",Masse volumique Kg/m3,Taux humidité %,Taux cendre
Plaquette,3.8,225,25%,1.0%
Granulés,4.6,650,7%,0.5%
Miscanthus,4.2,120,10%,3%
Buches,4,420,20%,1.0%
Agro combustible,,,,
Gaz naturel,11.1,470,0,0
Gaz propane,12.78,493,0,0
Fuel,11.86,840,0,0
