,Jour ,Heure  ,Extérieur,Cumul puissance,,Déperditions,30000,W,,SI(D5<$H$4;$H$8*($H$4-D5);0)
,,,T (°C),Chauffage (W),,Température intérieur de base,19,°C,,
,71,23,5.8,15230.76923,,,,,,
,71,24,4.7,16500,,,,,,
,72,1,3.8,17538.46154,,,,,,
,72,2,3,18461.53846,,,,,,
,72,3,2.1,19500,,,,,,
,72,4,1.6,20076.92308,,,,,,
,72,5,1.1,20653.84615,,,,,,
,72,6,0.8,21000,,,,,,
,72,7,0.5,21346.15385,,,,,,
,72,8,0.7,21115.38462,,,,,,
,72,9,3.2,18230.76923,,,,,,
,72,10,5.6,15461.53846,,,,,,
,72,11,7.9,12807.69231,,,,,,
,72,12,10,10384.61538,,,,,,
,72,13,11.6,8538.461538,,,,,,
,72,14,12.8,7153.846154,,,,,,
,72,15,13.5,6346.153846,,,,,,
,72,16,13.6,6230.769231,,,,,,
,72,17,13.1,6807.692308,,,,,,
,72,18,11.9,8192.307692,,,,,,
,72,19,10.1,10269.23077,,,,,,
,72,20,8.9,11653.84615,,,,,,
,72,21,7.8,12923.07692,,,,,,
,72,22,6.7,14192.30769,,,,,,
,72,23,5.6,15461.53846,,,,,,
,72,24,4.5,16730.76923,,,,,,
,73,1,3.7,17653.84615,,,,,,
,73,2,2.7,18807.69231,,,,,,
,73,3,1.8,19846.15385,,,,,,
,73,4,1.3,20423.07692,,,,,,
,73,5,0.8,21000,,,,,,
,73,6,0.4,21461.53846,,,,,,
,73,7,0.1,21807.69231,,,,,,
,73,8,0.3,21576.92308,,,,,,
,73,9,2.4,19153.84615,,,,,,
,73,10,4.5,16730.76923,,,,,,
,73,11,6.5,14423.07692,,,,,,
,73,12,8.4,12230.76923,,,,,,
,73,13,9.8,10615.38462,,,,,,
,73,14,10.9,9346.153846,,,,,,
,73,15,11.4,8769.230769,,,,,,
,73,16,11.6,8538.461538,,,,,,
,73,17,11,9230.769231,,,,,,
,73,18,9.9,10500,,,,,,
,73,19,8.2,12461.53846,,,,,,
,73,20,7.5,13269.23077,,,,,,
,73,21,6.7,14192.30769,,,,,,
,73,22,6,15000,,,,,,
,73,23,5.2,15923.07692,,,,,,
,73,24,4.5,16730.76923,,,,,,
,74,1,4.1,17192.30769,,,,,,
,74,2,3.6,17769.23077,,,,,,
,74,3,3.1,18346.15385,,,,,,
,74,4,2.9,18576.92308,,,,,,
,74,5,2.7,18807.69231,,,,,,
,74,6,2.5,19038.46154,,,,,,
,74,7,2.3,19269.23077,,,,,,
,74,8,2.7,18807.69231,,,,,,
,74,9,4.9,16269.23077,,,,,,
,74,10,7.4,13384.61538,,,,,,
,74,11,9.6,10846.15385,,,,,,
,74,12,11.7,8423.076923,,,,,,
,74,13,13.1,6807.692308,,,,,,
,74,14,14,5769.230769,,,,,,
,74,15,14.5,5192.307692,,,,,,
,74,16,14.7,4961.538462,,,,,,
,74,17,14.2,5538.461538,,,,,,
,74,18,13.1,6807.692308,,,,,,
,74,19,11.5,8653.846154,,,,,,
,74,20,10.9,9346.153846,,,,,,
,74,21,10.4,9923.076923,,,,,,
,74,22,9.9,10500,,,,,,
,74,23,9.3,11192.30769,,,,,,
,74,24,8.8,11769.23077,,,,,,
,75,1,8.4,12230.76923,,,,,,
,75,2,8,12692.30769,,,,,,
,75,3,7.7,13038.46154,,,,,,
,75,4,7.5,13269.23077,,,,,,
,75,5,7.3,13500,,,,,,
,75,6,7.1,13730.76923,,,,,,
,75,7,7,13846.15385,,,,,,
,75,8,7.2,13615.38462,,,,,,
,75,9,8.2,12461.53846,,,,,,
,75,10,9.3,11192.30769,,,,,,
,75,11,10.3,10038.46154,,,,,,
,75,12,11.2,9000,,,,,,
,75,13,12.1,7961.538462,,,,,,
,75,14,12.8,7153.846154,,,,,,
,75,15,13.3,6576.923077,,,,,,
,75,16,13.3,6576.923077,,,,,,
,75,17,12.9,7038.461538,,,,,,
,75,18,12.2,7846.153846,,,,,,
,75,19,11.4,8769.230769,,,,,,
,75,20,10.9,9346.153846,,,,,,
,75,21,10.4,9923.076923,,,,,,
,75,22,9.8,10615.38462,,,,,,
,75,23,9.5,10961.53846,,,,,,
,75,24,9,11538.46154,,,,,,
,76,1,8.5,12115.38462,,,,,,
,76,2,8.1,12576.92308,,,,,,
,76,3,7.7,13038.46154,,,,,,
,76,4,7.5,13269.23077,,,,,,
,76,5,7.3,13500,,,,,,
,76,6,7.1,13730.76923,,,,,,
,76,7,7,13846.15385,,,,,,
,76,8,7.1,13730.76923,,,,,,
,76,9,7.3,13500,,,,,,
,76,10,7.4,13384.61538,,,,,,
,76,11,7.6,13153.84615,,,,,,
,76,12,7.8,12923.07692,,,,,,
,76,13,7.9,12807.69231,,,,,,
,76,14,9.4,11076.92308,,,,,,
,76,15,10.2,10153.84615,,,,,,
,76,16,10.9,9346.153846,,,,,,
,76,17,10.7,9576.923077,,,,,,
,76,18,11,9230.769231,,,,,,
,76,19,10.5,9807.692308,,,,,,
,76,20,10.1,10269.23077,,,,,,
,76,21,9.7,10730.76923,,,,,,
,76,22,9.3,11192.30769,,,,,,
,76,23,8.9,11653.84615,,,,,,
,76,24,8.5,12115.38462,,,,,,
,77,1,8.1,12576.92308,,,,,,
,77,2,7.7,13038.46154,,,,,,
,77,3,7.2,13615.38462,,,,,,
,77,4,7,13846.15385,,,,,,
,77,5,6.7,14192.30769,,,,,,
,77,6,6.5,14423.07692,,,,,,
,77,7,6.3,14653.84615,,,,,,
,77,8,6.8,14076.92308,,,,,,
,77,9,9.4,11076.92308,,,,,,
,77,10,12.2,7846.153846,,,,,,
,77,11,14.5,5192.307692,,,,,,
,77,12,16.3,3115.384615,,,,,,
,77,13,17.8,1384.615385,,,,,,
,77,14,18.9,115.3846154,,,,,,
,77,15,19.6,0,,,,,,
,77,16,19.8,0,,,,,,
,77,17,19.3,0,,,,,,
,77,18,18,1153.846154,,,,,,
,77,19,16.1,3346.153846,,,,,,
,77,20,15.5,4038.461538,,,,,,
,77,21,15,4615.384615,,,,,,
,77,22,14.4,5307.692308,,,,,,
,77,23,13.8,6000,,,,,,
,77,24,13.3,6576.923077,,,,,,
,78,1,13.1,6807.692308,,,,,,
,78,2,12.9,7038.461538,,,,,,
,78,3,12.8,7153.846154,,,,,,
,78,4,12.7,7269.230769,,,,,,
,78,5,12.6,7384.615385,,,,,,
,78,6,12.6,7384.615385,,,,,,
,78,7,12.6,7384.615385,,,,,,
,78,8,12.7,7269.230769,,,,,,
,78,9,13,6923.076923,,,,,,
,78,10,13.2,6692.307692,,,,,,
,78,11,13.5,6346.153846,,,,,,
,78,12,13.7,6115.384615,,,,,,
,78,13,13.8,6000,,,,,,
,78,14,15.6,3923.076923,,,,,,
,78,15,16.2,3230.769231,,,,,,
,78,16,17.4,1846.153846,,,,,,
,78,17,17.7,1500,,,,,,
,78,18,17.6,1615.384615,,,,,,
,78,19,16.9,2423.076923,,,,,,
,78,20,16.5,2884.615385,,,,,,
,78,21,16.1,3346.153846,,,,,,
,78,22,15.6,3923.076923,,,,,,
,78,23,15,4615.384615,,,,,,
,78,24,14.5,5192.307692,,,,,,
,79,1,14.1,5653.846154,,,,,,
,79,2,13.4,6461.538462,,,,,,
,79,3,12.8,7153.846154,,,,,,
,79,4,12.4,7615.384615,,,,,,
,79,5,12.1,7961.538462,,,,,,
,79,6,11.9,8192.307692,,,,,,
,79,7,11.6,8538.461538,,,,,,
,79,8,11.7,8423.076923,,,,,,
,79,9,12.6,7384.615385,,,,,,
,79,10,13.4,6461.538462,,,,,,
,79,11,14.4,5307.692308,,,,,,
,79,12,15,4615.384615,,,,,,
,79,13,15.6,3923.076923,,,,,,
,79,14,15.8,3692.307692,,,,,,
,79,15,16.1,3346.153846,,,,,,
,79,16,16.2,3230.769231,,,,,,
,79,17,16,3461.538462,,,,,,
,79,18,15.5,4038.461538,,,,,,
,79,19,14.8,4846.153846,,,,,,
,79,20,14.2,5538.461538,,,,,,
,79,21,13.5,6346.153846,,,,,,
,79,22,12.8,7153.846154,,,,,,
,79,23,12.2,7846.153846,,,,,,
,79,24,11.5,8653.846154,,,,,,
,80,1,11,9230.769231,,,,,,
,80,2,10.4,9923.076923,,,,,,
,80,3,9.9,10500,,,,,,
,80,4,9.6,10846.15385,,,,,,
,80,5,9.3,11192.30769,,,,,,
,80,6,9.1,11423.07692,,,,,,
,80,7,9.1,11423.07692,,,,,,
,80,8,9.2,11307.69231,,,,,,
,80,9,9.4,11076.92308,,,,,,
,80,10,9.6,10846.15385,,,,,,
,80,11,9.8,10615.38462,,,,,,
,80,12,10,10384.61538,,,,,,
,80,13,10.1,10269.23077,,,,,,
,80,14,11.7,8423.076923,,,,,,
,80,15,12.8,7153.846154,,,,,,
,80,16,13.5,6346.153846,,,,,,
,80,17,13.8,6000,,,,,,
,80,18,13.7,6115.384615,,,,,,
,80,19,13.2,6692.307692,,,,,,
,80,20,12.8,7153.846154,,,,,,
,80,21,12.4,7615.384615,,,,,,
,80,22,12,8076.923077,,,,,,
,80,23,11.6,8538.461538,,,,,,
,80,24,11,9230.769231,,,,,,
,81,1,11.1,9115.384615,,,,,,
,81,2,10.7,9576.923077,,,,,,
,81,3,10.4,9923.076923,,,,,,
,81,4,10.2,10153.84615,,,,,,
,81,5,9.7,10730.76923,,,,,,
,81,6,9.8,10615.38462,,,,,,
,81,7,9.9,10500,,,,,,
,81,8,10.7,9576.923077,,,,,,
,81,9,11.5,8653.846154,,,,,,
,81,10,11.6,8538.461538,,,,,,
,81,11,11.6,8538.461538,,,,,,
,81,12,12.8,7153.846154,,,,,,
,81,13,13.4,6461.538462,,,,,,
,81,14,13.9,5884.615385,,,,,,
,81,15,14.7,4961.538462,,,,,,
,81,16,15.1,4500,,,,,,
,81,17,15.1,4500,,,,,,
,81,18,14.9,4730.769231,,,,,,
,81,19,14.3,5423.076923,,,,,,
,81,20,13.7,6115.384615,,,,,,
,81,21,13.4,6461.538462,,,,,,
,81,22,13,6923.076923,,,,,,
,81,23,12.7,7269.230769,,,,,,
,81,24,12.4,7615.384615,,,,,,
,82,1,12.1,7961.538462,,,,,,
,82,2,11.8,8307.692308,,,,,,
,82,3,11.5,8653.846154,,,,,,
,82,4,11.3,8884.615385,,,,,,
,82,5,11.2,9000,,,,,,
,82,6,11,9230.769231,,,,,,
,82,7,11.1,9115.384615,,,,,,
,82,8,11.2,9000,,,,,,
,82,9,11.5,8653.846154,,,,,,
,82,10,11.8,8307.692308,,,,,,
,82,11,12.1,7961.538462,,,,,,
,82,12,12.4,7615.384615,,,,,,
,82,13,12.6,7384.615385,,,,,,
,82,14,12.8,7153.846154,,,,,,
,82,15,12.9,7038.461538,,,,,,
,82,16,12.9,7038.461538,,,,,,
,82,17,12.8,7153.846154,,,,,,
,82,18,12.6,7384.615385,,,,,,
,82,19,12.3,7730.769231,,,,,,
,82,20,11.9,8192.307692,,,,,,
,82,21,11.7,8423.076923,,,,,,
,82,22,10.6,9692.307692,,,,,,
,82,23,10.9,9346.153846,,,,,,
,82,24,10.5,9807.692308,,,,,,
,83,1,10.1,10269.23077,,,,,,
,83,2,9.3,11192.30769,,,,,,
,83,3,9.1,11423.07692,,,,,,
,83,4,9.1,11423.07692,,,,,,
,83,5,8.9,11653.84615,,,,,,
,83,6,8.8,11769.23077,,,,,,
,83,7,8.7,11884.61538,,,,,,
,83,8,7.6,13153.84615,,,,,,
,83,9,8.8,11769.23077,,,,,,
,83,10,9.1,11423.07692,,,,,,
,83,11,9.4,11076.92308,,,,,,
,83,12,9.6,10846.15385,,,,,,
,83,13,9.2,11307.69231,,,,,,
,83,14,9.9,10500,,,,,,
,83,15,9.8,10615.38462,,,,,,
,83,16,9.9,10500,,,,,,
,83,17,9.9,10500,,,,,,
,83,18,9.8,10615.38462,,,,,,
,83,19,9.6,10846.15385,,,,,,
,83,20,9.3,11192.30769,,,,,,
,83,21,8.9,11653.84615,,,,,,
,83,22,8.3,12346.15385,,,,,,
,83,23,8.2,12461.53846,,,,,,
,83,24,7.7,13038.46154,,,,,,
,84,1,6.8,14076.92308,,,,,,
,84,2,5.9,15115.38462,,,,,,
,84,3,5,16153.84615,,,,,,
,84,4,4.5,16730.76923,,,,,,
,84,5,4.1,17192.30769,,,,,,
,84,6,3.7,17653.84615,,,,,,
,84,7,3.7,17653.84615,,,,,,
,84,8,4.9,16269.23077,,,,,,
,84,9,6.9,13961.53846,,,,,,
,84,10,9.3,11192.30769,,,,,,
,84,11,11.5,8653.846154,,,,,,
,84,12,13.6,6230.769231,,,,,,
,84,13,15.3,4269.230769,,,,,,
,84,14,16.6,2769.230769,,,,,,
,84,15,17.5,1730.769231,,,,,,
,84,16,17.8,1384.615385,,,,,,
,84,17,17.6,1615.384615,,,,,,
,84,18,16.6,2769.230769,,,,,,
,84,19,15,4615.384615,,,,,,
,84,20,13.4,6461.538462,,,,,,
,84,21,12.3,7730.769231,,,,,,
,84,22,11.2,9000,,,,,,
,84,23,10.1,10269.23077,,,,,,
,84,24,9,11538.46154,,,,,,
,85,1,8.2,12461.53846,,,,,,
,85,2,7.2,13615.38462,,,,,,
,85,3,6.3,14653.84615,,,,,,
,85,4,5.8,15230.76923,,,,,,
,85,5,5.3,15807.69231,,,,,,
,85,6,5,16153.84615,,,,,,
,85,7,4.9,16269.23077,,,,,,
,85,8,6.1,14884.61538,,,,,,
,85,9,7.9,12807.69231,,,,,,
,85,10,9.1,11423.07692,,,,,,
,85,11,10.3,10038.46154,,,,,,
,85,12,12.5,7500,,,,,,
,85,13,14.2,5538.461538,,,,,,
,85,14,14.5,5192.307692,,,,,,
,85,15,15,4615.384615,,,,,,
,85,16,15.3,4269.230769,,,,,,
,85,17,15.4,4153.846154,,,,,,
,85,18,15,4615.384615,,,,,,
,85,19,13.9,5884.615385,,,,,,
,85,20,12.5,7500,,,,,,
,85,21,11.6,8538.461538,,,,,,
,85,22,10.6,9692.307692,,,,,,
,85,23,9.7,10730.76923,,,,,,
,85,24,8.7,11884.61538,,,,,,
,86,1,8.1,12576.92308,,,,,,
,86,2,7.4,13384.61538,,,,,,
,86,3,6.8,14076.92308,,,,,,
,86,4,6.4,14538.46154,,,,,,
,86,5,6.1,14884.61538,,,,,,
,86,6,5.9,15115.38462,,,,,,
,86,7,5.8,15230.76923,,,,,,
,86,8,6.9,13961.53846,,,,,,
,86,9,8.7,11884.61538,,,,,,
,86,10,10.5,9807.692308,,,,,,
,86,11,12.4,7615.384615,,,,,,
,86,12,14.1,5653.846154,,,,,,
,86,13,15.5,4038.461538,,,,,,
,86,14,16.5,2884.615385,,,,,,
,86,15,17.1,2192.307692,,,,,,
,86,16,17.3,1961.538462,,,,,,
,86,17,17.1,2192.307692,,,,,,
,86,18,16.2,3230.769231,,,,,,
,86,19,15,4615.384615,,,,,,
,86,20,13.7,6115.384615,,,,,,
,86,21,12.8,7153.846154,,,,,,
,86,22,11.9,8192.307692,,,,,,
,86,23,11,9230.769231,,,,,,
,86,24,10.1,10269.23077,,,,,,
,87,1,9.3,11192.30769,,,,,,
,87,2,8.5,12115.38462,,,,,,
,87,3,7.7,13038.46154,,,,,,
,87,4,7.3,13500,,,,,,
,87,5,6.9,13961.53846,,,,,,
,87,6,6.6,14307.69231,,,,,,
,87,7,6.6,14307.69231,,,,,,
,87,8,8.1,12576.92308,,,,,,
,87,9,9.1,11423.07692,,,,,,
,87,10,10.6,9692.307692,,,,,,
,87,11,10,10384.61538,,,,,,
,87,12,10.2,10153.84615,,,,,,
,87,13,10.7,9576.923077,,,,,,
,87,14,11.5,8653.846154,,,,,,
,87,15,12.9,7038.461538,,,,,,
,87,16,13.1,6807.692308,,,,,,
,87,17,12.6,7384.615385,,,,,,
,87,18,12,8076.923077,,,,,,
,87,19,11.3,8884.615385,,,,,,
,87,20,10.4,9923.076923,,,,,,
,87,21,9.8,10615.38462,,,,,,
,87,22,9,11538.46154,,,,,,
,87,23,8.3,12346.15385,,,,,,
,87,24,7.5,13269.23077,,,,,,
,88,1,6.9,13961.53846,,,,,,
,88,2,6.1,14884.61538,,,,,,
,88,3,5.7,15346.15385,,,,,,
,88,4,5.4,15692.30769,,,,,,
,88,5,5.1,16038.46154,,,,,,
,88,6,4.9,16269.23077,,,,,,
,88,7,4.9,16269.23077,,,,,,
,88,8,6.1,14884.61538,,,,,,
,88,9,6.6,14307.69231,,,,,,
,88,10,7.3,13500,,,,,,
,88,11,8.7,11884.61538,,,,,,
,88,12,9.9,10500,,,,,,
,88,13,9.7,10730.76923,,,,,,
,88,14,9.9,10500,,,,,,
,88,15,10.2,10153.84615,,,,,,
,88,16,9.9,10500,,,,,,
,88,17,9.3,11192.30769,,,,,,
,88,18,8.9,11653.84615,,,,,,
,88,19,8.2,12461.53846,,,,,,
,88,20,7.7,13038.46154,,,,,,
,88,21,7.1,13730.76923,,,,,,
,88,22,6.4,14538.46154,,,,,,
,88,23,5.8,15230.76923,,,,,,
,88,24,5.2,15923.07692,,,,,,
,89,1,4.7,16500,,,,,,
,89,2,4.2,17076.92308,,,,,,
,89,3,3.6,17769.23077,,,,,,
,89,4,3.4,18000,,,,,,
,89,5,3.1,18346.15385,,,,,,
,89,6,2.9,18576.92308,,,,,,
,89,7,2.9,18576.92308,,,,,,
,89,8,4.1,17192.30769,,,,,,
,89,9,6,15000,,,,,,
,89,10,8.2,12461.53846,,,,,,
,89,11,10.3,10038.46154,,,,,,
,89,12,12.1,7961.538462,,,,,,
,89,13,13.8,6000,,,,,,
,89,14,14.8,4846.153846,,,,,,
,89,15,15.4,4153.846154,,,,,,
,89,16,15.6,3923.076923,,,,,,
,89,17,15.3,4269.230769,,,,,,
,89,18,14.4,5307.692308,,,,,,
,89,19,13.1,6807.692308,,,,,,
,89,20,11.7,8423.076923,,,,,,
,89,21,10.7,9576.923077,,,,,,
,89,22,9.6,10846.15385,,,,,,
,89,23,8.6,12000,,,,,,
,89,24,7.6,13153.84615,,,,,,
,90,1,6.6,14307.69231,,,,,,
,90,2,5.6,15461.53846,,,,,,
,90,3,4.6,16615.38462,,,,,,
,90,4,4.1,17192.30769,,,,,,
,90,5,3.6,17769.23077,,,,,,
,90,6,3.2,18230.76923,,,,,,
,90,7,3.1,18346.15385,,,,,,
,90,8,4.7,16500,,,,,,
,90,9,7.1,13730.76923,,,,,,
,90,10,9.6,10846.15385,,,,,,
,90,11,12.1,7961.538462,,,,,,
,90,12,14.3,5423.076923,,,,,,
,90,13,16.1,3346.153846,,,,,,
,90,14,17.4,1846.153846,,,,,,
,90,15,18.2,923.0769231,,,,,,
,90,16,18.5,576.9230769,,,,,,
,90,17,18.1,1038.461538,,,,,,
,90,18,16.9,2423.076923,,,,,,
,90,19,15.2,4384.615385,,,,,,
,90,20,13.4,6461.538462,,,,,,
,90,21,12.8,7153.846154,,,,,,
,90,22,12.1,7961.538462,,,,,,
,90,23,11.5,8653.846154,,,,,,
,90,24,10.8,9461.538462,,,,,,
avril,91,1,10.6,9692.307692,,,,,,
,91,2,10.3,10038.46154,,,,,,
,91,3,10,10384.61538,,,,,,
,91,4,9.9,10500,,,,,,
,91,5,9.8,10615.38462,,,,,,
,91,6,9.7,10730.76923,,,,,,
,91,7,9.8,10615.38462,,,,,,
,91,8,11.2,9000,,,,,,
,91,9,13.2,6692.307692,,,,,,
,91,10,15.3,4269.230769,,,,,,
,91,11,17.4,1846.153846,,,,,,
,91,12,19.2,0,,,,,,
,91,13,20.7,0,,,,,,
,91,14,21.8,0,,,,,,
,91,15,22.6,0,,,,,,
,91,16,22.8,0,,,,,,
,91,17,22.6,0,,,,,,
,91,18,21.7,0,,,,,,
,91,19,20.4,0,,,,,,
,91,20,19,0,,,,,,
,91,21,17.8,1384.615385,,,,,,
,91,22,16.6,2769.230769,,,,,,
,91,23,15.5,4038.461538,,,,,,
,91,24,14.4,5307.692308,,,,,,
,92,1,13.2,6692.307692,,,,,,
,92,2,11.9,8192.307692,,,,,,
,92,3,10.7,9576.923077,,,,,,
,92,4,10,10384.61538,,,,,,
,92,5,9.3,11192.30769,,,,,,
,92,6,8.9,11653.84615,,,,,,
,92,7,8.8,11769.23077,,,,,,
,92,8,10.2,10153.84615,,,,,,
,92,9,12,8076.923077,,,,,,
,92,10,13.9,5884.615385,,,,,,
,92,11,15.7,3807.692308,,,,,,
,92,12,17.2,2076.923077,,,,,,
,92,13,18.5,576.9230769,,,,,,
,92,14,19.5,0,,,,,,
,92,15,20,0,,,,,,
,92,16,20.2,0,,,,,,
,92,17,19.8,0,,,,,,
,92,18,18.9,115.3846154,,,,,,
,92,19,17.6,1615.384615,,,,,,
,92,20,16.2,3230.769231,,,,,,
,92,21,14.9,4730.769231,,,,,,
,92,22,13.6,6230.769231,,,,,,
,92,23,12.3,7730.769231,,,,,,
,92,24,10.9,9346.153846,,,,,,
,93,1,10,10384.61538,,,,,,
,93,2,9,11538.46154,,,,,,
,93,3,8,12692.30769,,,,,,
,93,4,7.5,13269.23077,,,,,,
,93,5,7,13846.15385,,,,,,
,93,6,6.6,14307.69231,,,,,,
,93,7,6.6,14307.69231,,,,,,
,93,8,7.7,13038.46154,,,,,,
,93,9,9.3,11192.30769,,,,,,
,93,10,11.2,9000,,,,,,
,93,11,12.6,7384.615385,,,,,,
,93,12,13.5,6346.153846,,,,,,
,93,13,14.5,5192.307692,,,,,,
,93,14,15.6,3923.076923,,,,,,
,93,15,16.1,3346.153846,,,,,,
,93,16,16.3,3115.384615,,,,,,
,93,17,16,3461.538462,,,,,,
,93,18,15.2,4384.615385,,,,,,
,93,19,14.1,5653.846154,,,,,,
,93,20,12.9,7038.461538,,,,,,
,93,21,11.9,8192.307692,,,,,,
,93,22,10.9,9346.153846,,,,,,
,93,23,9.9,10500,,,,,,
,93,24,8.9,11653.84615,,,,,,
,94,1,8.2,12461.53846,,,,,,
,94,2,7.4,13384.61538,,,,,,
,94,3,6.7,14192.30769,,,,,,
,94,4,6.3,14653.84615,,,,,,
,94,5,5.9,15115.38462,,,,,,
,94,6,5.6,15461.53846,,,,,,
,94,7,5.7,15346.15385,,,,,,
,94,8,7.1,13730.76923,,,,,,
,94,9,8.9,11653.84615,,,,,,
,94,10,10.6,9692.307692,,,,,,
,94,11,12.4,7615.384615,,,,,,
,94,12,13.9,5884.615385,,,,,,
,94,13,15.1,4500,,,,,,
,94,14,16.1,3346.153846,,,,,,
,94,15,16.6,2769.230769,,,,,,
,94,16,16.8,2538.461538,,,,,,
,94,17,16.5,2884.615385,,,,,,
,94,18,15.8,3692.307692,,,,,,
,94,19,14.6,5076.923077,,,,,,
,94,20,13.3,6576.923077,,,,,,
,94,21,12.3,7730.769231,,,,,,
,94,22,11.2,9000,,,,,,
,94,23,10.2,10153.84615,,,,,,
,94,24,9.2,11307.69231,,,,,,
,95,1,8.3,12346.15385,,,,,,
,95,2,7.5,13269.23077,,,,,,
,95,3,6.6,14307.69231,,,,,,
,95,4,6.1,14884.61538,,,,,,
,95,5,5.7,15346.15385,,,,,,
,95,6,5.4,15692.30769,,,,,,
,95,7,5.4,15692.30769,,,,,,
,95,8,6.6,14307.69231,,,,,,
,95,9,8.3,12346.15385,,,,,,
,95,10,9.9,10500,,,,,,
,95,11,11.4,8769.230769,,,,,,
,95,12,12.8,7153.846154,,,,,,
,95,13,13.9,5884.615385,,,,,,
,95,14,14.6,5076.923077,,,,,,
,95,15,15,4615.384615,,,,,,
,95,16,15.2,4384.615385,,,,,,
,95,17,14.8,4846.153846,,,,,,
,95,18,14.1,5653.846154,,,,,,
,95,19,13,6923.076923,,,,,,
,95,20,11.8,8307.692308,,,,,,
,95,21,10.9,9346.153846,,,,,,
,95,22,10,10384.61538,,,,,,
,95,23,9.1,11423.07692,,,,,,
,95,24,8.3,12346.15385,,,,,,
,96,1,7.6,13153.84615,,,,,,
,96,2,7,13846.15385,,,,,,
,96,3,6.4,14538.46154,,,,,,
,96,4,6,15000,,,,,,
,96,5,5.7,15346.15385,,,,,,
,96,6,5.5,15576.92308,,,,,,
,96,7,5.5,15576.92308,,,,,,
,96,8,6.9,13961.53846,,,,,,
,96,9,8.6,12000,,,,,,
,96,10,10.4,9923.076923,,,,,,
,96,11,12.1,7961.538462,,,,,,
,96,12,13.5,6346.153846,,,,,,
,96,13,14.7,4961.538462,,,,,,
,96,14,15.6,3923.076923,,,,,,
,96,15,16.1,3346.153846,,,,,,
,96,16,16.2,3230.769231,,,,,,
,96,17,15.9,3576.923077,,,,,,
,96,18,15.1,4500,,,,,,
,96,19,13.9,5884.615385,,,,,,
,96,20,12.7,7269.230769,,,,,,
,96,21,11.9,8192.307692,,,,,,
,96,22,11,9230.769231,,,,,,
,96,23,10.2,10153.84615,,,,,,
,96,24,9.4,11076.92308,,,,,,
,97,1,8.7,11884.61538,,,,,,
,97,2,8,12692.30769,,,,,,
,97,3,7.4,13384.61538,,,,,,
,97,4,7,13846.15385,,,,,,
,97,5,6.7,14192.30769,,,,,,
,97,6,6.4,14538.46154,,,,,,
,97,7,6.4,14538.46154,,,,,,
,97,8,6.5,14423.07692,,,,,,
,97,9,7.4,13384.61538,,,,,,
,97,10,8.4,12230.76923,,,,,,
,97,11,9.8,10615.38462,,,,,,
,97,12,10.8,9461.538462,,,,,,
,97,13,11.6,8538.461538,,,,,,
,97,14,12.2,7846.153846,,,,,,
,97,15,12.7,7269.230769,,,,,,
,97,16,13.2,6692.307692,,,,,,
,97,17,13.5,6346.153846,,,,,,
,97,18,13.5,6346.153846,,,,,,
,97,19,12.8,7153.846154,,,,,,
,97,20,11.9,8192.307692,,,,,,
,97,21,11.4,8769.230769,,,,,,
,97,22,10.9,9346.153846,,,,,,
,97,23,10.4,9923.076923,,,,,,
,97,24,9.9,10500,,,,,,
,98,1,9.6,10846.15385,,,,,,
,98,2,9.3,11192.30769,,,,,,
,98,3,9,11538.46154,,,,,,
,98,4,8.9,11653.84615,,,,,,
,98,5,8.8,11769.23077,,,,,,
,98,6,8.7,11884.61538,,,,,,
,98,7,8.8,11769.23077,,,,,,
,98,8,8.9,11653.84615,,,,,,
,98,9,9.1,11423.07692,,,,,,
,98,10,9,11538.46154,,,,,,
,98,11,9.6,10846.15385,,,,,,
,98,12,10.4,9923.076923,,,,,,
,98,13,11.3,8884.615385,,,,,,
,98,14,12.5,7500,,,,,,
,98,15,13.4,6461.538462,,,,,,
,98,16,13.7,6115.384615,,,,,,
,98,17,14.2,5538.461538,,,,,,
,98,18,14.2,5538.461538,,,,,,
,98,19,13.8,6000,,,,,,
,98,20,13.2,6692.307692,,,,,,
,98,21,12.5,7500,,,,,,
,98,22,11.9,8192.307692,,,,,,
,98,23,11.2,9000,,,,,,
,98,24,9.9,10500,,,,,,
,99,1,10,10384.61538,,,,,,
,99,2,9.2,11307.69231,,,,,,
,99,3,8.3,12346.15385,,,,,,
,99,4,7.7,13038.46154,,,,,,
,99,5,6.8,14076.92308,,,,,,
,99,6,7.1,13730.76923,,,,,,
,99,7,7.2,13615.38462,,,,,,
,99,8,7.6,13153.84615,,,,,,
,99,9,8.3,12346.15385,,,,,,
,99,10,8.9,11653.84615,,,,,,
,99,11,9.3,11192.30769,,,,,,
,99,12,10,10384.61538,,,,,,
,99,13,10.6,9692.307692,,,,,,
,99,14,11,9230.769231,,,,,,
,99,15,11.1,9115.384615,,,,,,
,99,16,11.1,9115.384615,,,,,,
,99,17,11,9230.769231,,,,,,
,99,18,10.7,9576.923077,,,,,,
,99,19,10.2,10153.84615,,,,,,
,99,20,9.6,10846.15385,,,,,,
,99,21,9.5,10961.53846,,,,,,
,99,22,9.5,10961.53846,,,,,,
,99,23,9.4,11076.92308,,,,,,
,99,24,9.4,11076.92308,,,,,,
,100,1,9.7,10730.76923,,,,,,
,100,2,10,10384.61538,,,,,,
,100,3,10.2,10153.84615,,,,,,
,100,4,10.4,9923.076923,,,,,,
